
Host: d2-16

Timers On : Mon Aug 17 17:58:33 2026
Timers Off: Mon Aug 17 17:58:55 2026

Wall Time:       22.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.867u      0.083s      0.565w      1 calls
build grid                          :      0.600u      0.033s      0.384w      1 calls
post-process grid                   :      0.267u      0.050s      0.181w      1 calls
Total PK formation time             :      0.267u      0.017s      0.164w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.015w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.067w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.044w      1 calls
SAD Guess                           :      0.067u      0.000s      0.042w      1 calls
HF: Form G                          :     24.933u      0.267s     15.183w     11 calls
RV: Form V                          :     24.850u      0.267s     15.137w     11 calls
Properties                          :      9.917u      0.133s      5.917w  47952 calls
Functional                          :      7.883u      0.033s      4.909w  47952 calls
V_xc                                :      9.750u      0.117s      5.993w  43956 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     11 calls
JK: JK                              :      0.067u      0.000s      0.040w     11 calls
PK computes JK                      :      0.067u      0.000s      0.040w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.517u      0.050s      0.476w     10 calls
HF: Form C                          :      0.000u      0.000s      0.007w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.867u      0.000s      0.518w      1 calls
Grad: XC                            :      4.983u      0.017s      3.015w      1 calls
V_xc gradient                       :      2.083u      0.000s      1.199w   3996 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.867u      0.083s      0.565w      1 calls
| build grid                        :      0.600u      0.033s      0.384w      1 calls
| post-process grid                 :      0.267u      0.050s      0.181w      1 calls
Total PK formation time             :      0.267u      0.017s      0.164w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.011w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.067w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.044w      1 calls
| SAD Guess                         :      0.067u      0.000s      0.042w      1 calls
HF: Form G                          :     24.933u      0.267s     15.183w     11 calls
| RV: Form V                        :     24.850u      0.267s     15.137w     11 calls
| | Properties                      :      7.650u      0.117s      4.525w  43956 calls
| | Functional                      :      7.250u      0.033s      4.498w  43956 calls
| | V_xc                            :      9.750u      0.117s      5.993w  43956 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     11 calls
| JK: JK                            :      0.067u      0.000s      0.040w     11 calls
| | PK computes JK                  :      0.067u      0.000s      0.040w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.517u      0.050s      0.476w     10 calls
HF: Form C                          :      0.000u      0.000s      0.007w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.867u      0.000s      0.518w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      1 calls
Grad: XC                            :      4.983u      0.017s      3.015w      1 calls
| Properties                        :      2.267u      0.017s      1.392w   3996 calls
| Functional                        :      0.633u      0.000s      0.412w   3996 calls
| V_xc gradient                     :      2.083u      0.000s      1.199w   3996 calls

**************************************************************************************
