
Host: a2-13

Timers On : Mon Aug 17 17:59:03 2026
Timers Off: Mon Aug 17 17:59:17 2026

Wall Time:       14.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.617u      0.067s      0.441w      1 calls
build grid                          :      0.417u      0.017s      0.296w      1 calls
post-process grid                   :      0.200u      0.050s      0.144w      1 calls
Total PK formation time             :      0.167u      0.017s      0.113w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.012w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.057w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.032w      1 calls
SAD Guess                           :      0.050u      0.017s      0.031w      1 calls
HF: Form G                          :     14.900u      0.367s      9.239w     11 calls
RV: Form V                          :     14.817u      0.367s      9.205w     11 calls
Properties                          :      5.700u      0.133s      3.532w  48192 calls
Functional                          :      5.583u      0.100s      3.479w  48192 calls
V_xc                                :      5.167u      0.167s      3.203w  44176 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.083u      0.000s      0.033w     11 calls
PK computes JK                      :      0.083u      0.000s      0.033w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.150s      0.421w     10 calls
HF: Form C                          :      0.017u      0.000s      0.007w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.567u      0.000s      0.345w      1 calls
Grad: XC                            :      3.167u      0.033s      1.929w      1 calls
V_xc gradient                       :      1.233u      0.000s      0.777w   4016 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.617u      0.067s      0.441w      1 calls
| build grid                        :      0.417u      0.017s      0.296w      1 calls
| post-process grid                 :      0.200u      0.050s      0.144w      1 calls
Total PK formation time             :      0.167u      0.017s      0.113w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.009w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.057w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.032w      1 calls
| SAD Guess                         :      0.050u      0.017s      0.031w      1 calls
HF: Form G                          :     14.900u      0.367s      9.239w     11 calls
| RV: Form V                        :     14.817u      0.367s      9.205w     11 calls
| | Properties                      :      4.283u      0.100s      2.681w  44176 calls
| | Functional                      :      5.100u      0.100s      3.191w  44176 calls
| | V_xc                            :      5.167u      0.167s      3.203w  44176 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.083u      0.000s      0.033w     11 calls
| | PK computes JK                  :      0.083u      0.000s      0.033w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.150s      0.421w     10 calls
HF: Form C                          :      0.017u      0.000s      0.007w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.567u      0.000s      0.345w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
Grad: XC                            :      3.167u      0.033s      1.929w      1 calls
| Properties                        :      1.417u      0.033s      0.851w   4016 calls
| Functional                        :      0.483u      0.000s      0.288w   4016 calls
| V_xc gradient                     :      1.233u      0.000s      0.777w   4016 calls

**************************************************************************************
