
Host: b1-21

Timers On : Mon Aug 17 17:59:32 2026
Timers Off: Mon Aug 17 17:59:47 2026

Wall Time:       14.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.600u      0.067s      0.393w      1 calls
build grid                          :      0.417u      0.033s      0.265w      1 calls
post-process grid                   :      0.183u      0.033s      0.128w      1 calls
Total PK formation time             :      0.183u      0.000s      0.113w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.010w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.093w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
SAD Guess                           :      0.050u      0.000s      0.029w      1 calls
HF: Form G                          :     15.583u      0.183s      9.509w     11 calls
RV: Form V                          :     15.567u      0.183s      9.477w     11 calls
Properties                          :      6.317u      0.033s      3.682w  48192 calls
Functional                          :      5.317u      0.117s      3.354w  48192 calls
V_xc                                :      5.717u      0.033s      3.556w  44176 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.017u      0.000s      0.030w     11 calls
PK computes JK                      :      0.017u      0.000s      0.030w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.350u      0.050s      0.298w     10 calls
HF: Form C                          :      0.000u      0.000s      0.007w     10 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.583u      0.000s      0.355w      1 calls
Grad: XC                            :      3.267u      0.017s      1.969w      1 calls
V_xc gradient                       :      1.267u      0.017s      0.765w   4016 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.600u      0.067s      0.393w      1 calls
| build grid                        :      0.417u      0.033s      0.265w      1 calls
| post-process grid                 :      0.183u      0.033s      0.128w      1 calls
Total PK formation time             :      0.183u      0.000s      0.113w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.093w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.029w      1 calls
HF: Form G                          :     15.583u      0.183s      9.509w     11 calls
| RV: Form V                        :     15.567u      0.183s      9.477w     11 calls
| | Properties                      :      4.833u      0.033s      2.767w  44176 calls
| | Functional                      :      4.817u      0.117s      3.072w  44176 calls
| | V_xc                            :      5.717u      0.033s      3.556w  44176 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.017u      0.000s      0.030w     11 calls
| | PK computes JK                  :      0.017u      0.000s      0.030w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.350u      0.050s      0.298w     10 calls
HF: Form C                          :      0.000u      0.000s      0.007w     10 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.583u      0.000s      0.355w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
Grad: XC                            :      3.267u      0.017s      1.969w      1 calls
| Properties                        :      1.483u      0.000s      0.914w   4016 calls
| Functional                        :      0.500u      0.000s      0.282w   4016 calls
| V_xc gradient                     :      1.267u      0.017s      0.765w   4016 calls

**************************************************************************************
