
Host: c1-15

Timers On : Mon Aug 17 17:58:53 2026
Timers Off: Mon Aug 17 18:00:00 2026

Wall Time:       66.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.167u      0.650s      1.712w      1 calls
build grid                          :      0.800u      0.317s      0.683w      1 calls
post-process grid                   :      1.367u      0.333s      1.029w      1 calls
Total PK formation time             :      0.500u      0.083s      0.365w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.033s      0.076w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.098w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      0.133u      0.083s      0.133w      1 calls
SAD Guess                           :      0.133u      0.083s      0.131w      1 calls
HF: Form G                          :     66.117u      0.950s     40.919w     11 calls
RV: Form V                          :     65.500u      0.950s     40.556w     11 calls
Properties                          :     50.267u      0.533s     30.704w  48060 calls
Functional                          :     12.150u      0.167s      7.448w  48060 calls
V_xc                                :     15.517u      0.300s     10.230w  44055 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.600u      0.000s      0.355w     11 calls
PK computes JK                      :      0.600u      0.000s      0.354w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.002w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      1.667u      0.683s      1.797w     10 calls
HF: Form C                          :      0.067u      0.000s      0.024w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.018w      1 calls
Grad: S                             :      0.000u      0.000s      0.005w      1 calls
Grad: JK                            :      2.117u      0.083s      1.566w      1 calls
Grad: XC                            :     19.300u      0.117s     11.834w      1 calls
V_xc gradient                       :      5.583u      0.033s      3.430w   4005 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.167u      0.650s      1.712w      1 calls
| build grid                        :      0.800u      0.317s      0.683w      1 calls
| post-process grid                 :      1.367u      0.333s      1.029w      1 calls
Total PK formation time             :      0.500u      0.083s      0.365w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.033s      0.043w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.098w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      0.133u      0.083s      0.133w      1 calls
| SAD Guess                         :      0.133u      0.083s      0.131w      1 calls
HF: Form G                          :     66.117u      0.950s     40.919w     11 calls
| RV: Form V                        :     65.500u      0.950s     40.556w     11 calls
| | Properties                      :     37.783u      0.467s     23.118w  44055 calls
| | Functional                      :     11.083u      0.150s      6.705w  44055 calls
| | V_xc                            :     15.517u      0.300s     10.230w  44055 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.600u      0.000s      0.355w     11 calls
| | PK computes JK                  :      0.600u      0.000s      0.354w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.002w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      1.667u      0.683s      1.797w     10 calls
HF: Form C                          :      0.067u      0.000s      0.024w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.018w      1 calls
Grad: S                             :      0.000u      0.000s      0.005w      1 calls
Grad: JK                            :      2.117u      0.083s      1.566w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.033w      1 calls
Grad: XC                            :     19.300u      0.117s     11.834w      1 calls
| Properties                        :     12.483u      0.067s      7.586w   4005 calls
| Functional                        :      1.067u      0.017s      0.743w   4005 calls
| V_xc gradient                     :      5.583u      0.033s      3.430w   4005 calls

**************************************************************************************
