   11   33
        0.1353664600        0.0000000000        0.0000000000
       -0.0595354980        0.0000000000        0.0000000000
       -0.0595354980        0.0000000000        0.0000000000
        0.0072218256        0.0000000000        0.0000000000
        0.0072218256        0.0000000000        0.0000000000
       -0.0101926372        0.0000000000        0.0000000000
       -0.0396387071        0.0000000000        0.0000000000
        0.0022522914        0.0000000000        0.0000000000
        0.0022522914        0.0000000000        0.0000000000
        0.0072938232        0.0000000000        0.0000000000
        0.0072938232        0.0000000000        0.0000000000
        0.0000000000        0.6579221000        0.0000000000
        0.0000000000       -0.2858269666       -0.0587155698
        0.0000000000       -0.2858269666        0.0587155698
        0.0000000000        0.0464350534       -0.0829214234
        0.0000000000        0.0464350534        0.0829214234
        0.0000000000       -0.0875863411        0.0000000000
        0.0000000000       -0.0604991153        0.0000000000
        0.0000000000       -0.0166802224       -0.0160192962
        0.0000000000       -0.0166802224        0.0160192962
        0.0000000000        0.0011538138        0.0013667599
        0.0000000000        0.0011538138       -0.0013667599
        0.0000000000        0.0000000000        0.7509915360
        0.0000000000       -0.1262415476       -0.1882669992
        0.0000000000        0.1262415476       -0.1882669992
        0.0000000000       -0.0319662586       -0.0260274395
        0.0000000000        0.0319662586       -0.0260274395
        0.0000000000        0.0000000000        0.0057222330
        0.0000000000        0.0000000000       -0.3404883591
        0.0000000000        0.0157342218        0.0123393584
        0.0000000000       -0.0157342218        0.0123393584
        0.0000000000        0.0007663801       -0.0061576247
        0.0000000000       -0.0007663801       -0.0061576247
       -0.0595354980        0.0000000000        0.0000000000
        0.1251801819        0.0000000000        0.0000000000
        0.0053023160        0.0000000000        0.0000000000
       -0.0668509935        0.0000000000        0.0000000000
       -0.0102182047        0.0000000000        0.0000000000
        0.0228751370        0.0000000000        0.0000000000
        0.0044752740        0.0000000000        0.0000000000
       -0.0350854748        0.0000000000        0.0000000000
        0.0080852887        0.0000000000        0.0000000000
        0.0063278608        0.0000000000        0.0000000000
       -0.0005558873        0.0000000000        0.0000000000
        0.0000000000       -0.2858269666       -0.1262415476
