   11   33
        0.1747123750       -0.0000782188       -0.0001072737
       -0.0765074125       -0.0000410600       -0.0000153637
       -0.0765074100       -0.0000410575       -0.0000153625
        0.0079048750       -0.0000030937       -0.0000041538
        0.0079048750       -0.0000030950       -0.0000041550
       -0.0108508150       -0.0000044487       -0.0000003850
       -0.0502041775        0.0000040575       -0.0000658950
        0.0033845850       -0.0000001512       -0.0000004087
        0.0033845900       -0.0000001537       -0.0000004087
        0.0083907275       -0.0000000525        0.0000000338
        0.0083907250       -0.0000000525        0.0000000325
       -0.0000782188        0.7116290450        0.0000800687
       -0.0000413088       -0.3085229100       -0.0336946750
       -0.0000413025       -0.3085229088        0.0339028325
       -0.0000036263        0.0759661063       -0.1245344701
       -0.0000036275        0.0759661049        0.1245854349
       -0.0000032400       -0.1411091088       -0.0000015163
        0.0000067775       -0.0723424350       -0.0000694875
       -0.0000010525       -0.0175894425       -0.0177273238
       -0.0000010476       -0.0175894438        0.0177217612
       -0.0000007988        0.0010984512        0.0015458188
       -0.0000007988        0.0010984525       -0.0015459763
       -0.0001072737        0.0000800687        0.8409351075
       -0.0000137637       -0.1393977250       -0.2169509987
       -0.0000137600        0.1395502138       -0.2169509962
       -0.0000014112       -0.0352014413       -0.0248213213
       -0.0000014125        0.0352010362       -0.0248213238
        0.0000000738       -0.0000019812        0.0028376587
       -0.0000776325       -0.0000776213       -0.3754566237
       -0.0000005037        0.0183034575        0.0145816050
       -0.0000004975       -0.0183067250        0.0145816087
       -0.0000002913        0.0008369400       -0.0069674050
       -0.0000002925       -0.0008373238       -0.0069674075
       -0.0765074125       -0.0000413088       -0.0000137637
        0.1574353850       -0.0001026175       -0.0000811975
        0.0069228400       -0.0000014062       -0.0000030862
       -0.0841332574       -0.0000001187       -0.0000541700
       -0.0106623650       -0.0000000313       -0.0000004538
        0.0256085100       -0.0000025325       -0.0000013150
        0.0065769825       -0.0000009800        0.0000003725
       -0.0423047025       -0.0000512500       -0.0000111987
        0.0088093825       -0.0000000625       -0.0000001263
        0.0083859750        0.0000003250       -0.0000010862
       -0.0001268100        0.0000002062        0.0000000838
       -0.0000410600       -0.3085229100       -0.1393977250
       -0.0001026175        0.8179266975       -0.0531117537
       -0.0000014062       -0.0635307325        0.0391072875
       -0.0000004037       -0.1711808525        0.0576003938
       -0.0000009137       -0.0349647075       -0.0455033625
       -0.0000038562        0.0582481812        0.0372583963
       -0.0000000437        0.0086363900        0.0050541875
       -0.0000601162       -0.3089552075        0.1266328150
       -0.0000005325       -0.0033375662        0.0040914500
       -0.0000012463        0.0054853850       -0.0303528149
       -0.0000000500        0.0002004462       -0.0012167475
       -0.0000153637       -0.0336946750       -0.2169509987
       -0.0000811975       -0.0531117537        0.7290735375
       -0.0000030850       -0.0391044575        0.1105564900
       -0.0000562475       -0.0611488413       -0.3369978437
       -0.0000007175       -0.0673443250       -0.1007120713
       -0.0000045625        0.1487790688       -0.0247014562
       -0.0000016574       -0.0301960688       -0.0109153237
       -0.0000115650        0.1272846213       -0.1384492550
       -0.0000004475        0.0046256550       -0.0011903600
       -0.0000005188        0.0040789275       -0.0093478474
       -0.0000001825        0.0000084375       -0.0003252775
