   11   33
        0.1823125200       -0.0000731088       -0.0001028075
       -0.0788983862       -0.0000390188       -0.0000148275
       -0.0788983900       -0.0000390175       -0.0000148250
        0.0081588412       -0.0000030475       -0.0000042625
        0.0081588500       -0.0000030487       -0.0000042588
       -0.0110158900       -0.0000043287       -0.0000001850
       -0.0532410475        0.0000030275       -0.0000626075
        0.0034280175       -0.0000004125       -0.0000003750
        0.0034280137       -0.0000004038       -0.0000003738
        0.0082861862       -0.0000001425       -0.0000000600
        0.0082861825       -0.0000001362       -0.0000000563
       -0.0000731088        0.6755018075        0.0000734200
       -0.0000383787       -0.2882331750       -0.0203270150
       -0.0000383775       -0.2882331825        0.0205227088
       -0.0000036650        0.0757444950       -0.1239230700
       -0.0000036612        0.0757444888        0.1239736413
       -0.0000032200       -0.1399372425       -0.0000014287
        0.0000061875       -0.0756268900       -0.0000646812
       -0.0000010737       -0.0184528600       -0.0174547112
       -0.0000010712       -0.0184528525        0.0174489463
       -0.0000008100        0.0010137163        0.0014393450
       -0.0000008137        0.0010137225       -0.0014395412
       -0.0001028075        0.0000734200        0.8043982150
       -0.0000135037       -0.1252701037       -0.2115724987
       -0.0000135100        0.1254092713       -0.2115724950
       -0.0000016037       -0.0354900025       -0.0246920050
       -0.0000015925        0.0354892463       -0.0246920012
        0.0000000763       -0.0000018600        0.0028283538
       -0.0000733687       -0.0000722762       -0.3507947887
       -0.0000005249        0.0177136325        0.0150573313
       -0.0000005162       -0.0177169737        0.0150573313
       -0.0000003013        0.0007910350       -0.0070091062
       -0.0000003112       -0.0007913087       -0.0070091025
       -0.0788983862       -0.0000383787       -0.0000135037
        0.1641141399       -0.0000980587       -0.0000757549
        0.0075278688       -0.0000017900       -0.0000031900
       -0.0862769312       -0.0000004662       -0.0000497837
       -0.0108435525       -0.0000001225       -0.0000005137
        0.0257309175       -0.0000023237       -0.0000011275
        0.0066976188       -0.0000009712        0.0000001651
       -0.0450565499       -0.0000490625       -0.0000111350
        0.0086348788       -0.0000001062       -0.0000000663
        0.0085554212        0.0000002488       -0.0000011212
       -0.0001792024        0.0000000988       -0.0000000050
       -0.0000390188       -0.2882331750       -0.1252701037
       -0.0000980587        0.7809774625       -0.0528097150
       -0.0000017963       -0.0637381762        0.0388191350
       -0.0000013375       -0.1733314962        0.0561052925
       -0.0000011287       -0.0347520350       -0.0452613237
       -0.0000038912        0.0582643013        0.0371689113
       -0.0000000962        0.0087005838        0.0039600075
       -0.0000569625       -0.2905535550        0.1150898125
       -0.0000005537       -0.0033715450        0.0040799512
       -0.0000013325        0.0058048938       -0.0304260025
       -0.0000000675        0.0002373863       -0.0013050400
       -0.0000148275       -0.0203270150       -0.2115724987
       -0.0000757549       -0.0528097150        0.6928936699
       -0.0000032000       -0.0388165549        0.1107335326
       -0.0000523099       -0.0624002012       -0.3092180187
       -0.0000007412       -0.0669771112       -0.0999739537
       -0.0000046387        0.1482043275       -0.0247160587
       -0.0000016912       -0.0303896475       -0.0112097137
       -0.0000110374        0.1157842513       -0.1355325975
       -0.0000004750        0.0045501538       -0.0011211750
       -0.0000005125        0.0034011500       -0.0098228587
       -0.0000001912       -0.0000528837       -0.0004206787
       -0.0788983900       -0.0000383775       -0.0000135100
        0.0075278688       -0.0000017963       -0.0000032000
        0.1641141500       -0.0000980688       -0.0000757575
       -0.0108435612       -0.0000001212       -0.0000005212
       -0.0862769287       -0.0000004725       -0.0000497862
        0.0257309112       -0.0000023275       -0.0000011337
        0.0066976150       -0.0000009737        0.0000001600
        0.0086348701       -0.0000001162       -0.0000000700
       -0.0450565500       -0.0000490612       -0.0000111375
       -0.0001792000        0.0000000925       -0.0000000100
        0.0085554150        0.0000002500       -0.0000011162
       -0.0000390175       -0.2882331825        0.1254092713
       -0.0000017900       -0.0637381762       -0.0388165549
       -0.0000980688        0.7809774650        0.0529627287
       -0.0000011337       -0.0347520312        0.0452669588
       -0.0000013350       -0.1733315050       -0.0562150450
       -0.0000038962        0.0582643000       -0.0371673150
       -0.0000001025        0.0087005750       -0.0039634587
       -0.0000005612       -0.0033715537       -0.0040805587
       -0.0000569600       -0.2905535475       -0.1149841300
       -0.0000000637        0.0002373813        0.0013048863
       -0.0000013362        0.0058049000        0.0304261113
       -0.0000148250        0.0205227088       -0.2115724950
       -0.0000031900        0.0388191350        0.1107335326
       -0.0000757575        0.0529627287        0.6928936700
       -0.0000007450        0.0669911163       -0.0999739587
       -0.0000523038        0.0622901138       -0.3092180188
       -0.0000046375       -0.1481293025       -0.0247160562
       -0.0000016925        0.0303886238       -0.0112097149
       -0.0000004812       -0.0045507262       -0.0011211788
       -0.0000110387       -0.1156700512       -0.1355326013
       -0.0000001875        0.0000526538       -0.0004206788
       -0.0000005162       -0.0034066487       -0.0098228550
        0.0081588412       -0.0000036650       -0.0000016037
       -0.0862769312       -0.0000013375       -0.0000523099
       -0.0108435612       -0.0000011337       -0.0000007450
        0.2061901100       -0.0000990662       -0.0000876362
        0.0028570713       -0.0000055137       -0.0000043275
       -0.0877336587       -0.0000481287       -0.0000157625
        0.0096752325        0.0000000063       -0.0000002337
        0.0013627250        0.0000001488       -0.0000010438
       -0.0002479612        0.0000000612        0.0000000013
       -0.0549207587       -0.0000429587       -0.0000162738
        0.0117831488       -0.0000002575       -0.0000001900
       -0.0000030475        0.0757444950       -0.0354900025
       -0.0000004662       -0.1733314962       -0.0624002012
       -0.0000001212       -0.0347520312        0.0669911163
       -0.0000990662        0.7637945100        0.0802285088
       -0.0000055088       -0.1134196387       -0.0548710212
       -0.0000461937       -0.2605738700        0.1081741238
       -0.0000004087       -0.0056459587       -0.0037818337
       -0.0000013974        0.0037217063        0.0341277213
        0.0000000038        0.0002049875        0.0022357350
       -0.0000518037       -0.2532349287       -0.1301370850
       -0.0000008800       -0.0025011387       -0.0048426662
       -0.0000042625       -0.1239230700       -0.0246920050
       -0.0000497837        0.0561052925       -0.3092180187
       -0.0000005212        0.0452669588       -0.0999739587
       -0.0000876362        0.0802285088        0.7029079124
       -0.0000043287        0.0548760650        0.1133948638
       -0.0000203750        0.0246155163       -0.2151372950
       -0.0000011037       -0.0034374250        0.0006158800
       -0.0000000349       -0.0027792450       -0.0055813613
       -0.0000000649        0.0012122050       -0.0015133537
       -0.0000173100       -0.1274497550       -0.1609054237
       -0.0000008212       -0.0043514299        0.0001386026
        0.0081588500       -0.0000036612       -0.0000015925
       -0.0108435525       -0.0000011287       -0.0000007412
       -0.0862769287       -0.0000013350       -0.0000523038
        0.0028570713       -0.0000055088       -0.0000043287
        0.2061901025       -0.0000990625       -0.0000876300
       -0.0877336538       -0.0000481262       -0.0000157625
        0.0096752350        0.0000000113       -0.0000002275
       -0.0002479625        0.0000000525        0.0000000037
        0.0013627300        0.0000001637       -0.0000010375
        0.0117831562       -0.0000002625       -0.0000001875
       -0.0549207575       -0.0000429475       -0.0000162650
       -0.0000030487        0.0757444888        0.0354892463
       -0.0000001225       -0.0347520350       -0.0669771112
       -0.0000004725       -0.1733315050        0.0622901138
       -0.0000055137       -0.1134196387        0.0548760650
       -0.0000990625        0.7637945124       -0.0799782725
       -0.0000461949       -0.2605738687       -0.1080150099
       -0.0000004075       -0.0056459625        0.0037814063
        0.0000000051        0.0002049788       -0.0022360650
       -0.0000013949        0.0037217100       -0.0341276537
       -0.0000008800       -0.0025011450        0.0048419300
