   18   54
        0.1331180645        0.0000000000       -0.0000025650
       -0.0575691049        0.0000042757       -0.0000039733
       -0.0575690291       -0.0000042757       -0.0000039733
        0.0052298104       -0.0000009931        0.0000012606
        0.0052298701        0.0000009931        0.0000012606
        0.0048166468        0.0000046185        0.0000007252
        0.0048166432       -0.0000046185        0.0000007252
        0.0003813688        0.0000009341        0.0000009152
        0.0003813670       -0.0000009341        0.0000009152
       -0.0008042240        0.0000000000        0.0000035935
       -0.0371200194        0.0000000000       -0.0000022132
       -0.0003848609        0.0000021385       -0.0000005766
       -0.0003848618       -0.0000021385       -0.0000005766
        0.0004582063        0.0000027439       -0.0000006464
        0.0004582029       -0.0000027439       -0.0000006464
       -0.0004908875        0.0000020209        0.0000016573
       -0.0004908876       -0.0000020209        0.0000016573
       -0.0000807502        0.0000000000        0.0000024608
        0.0000000000        0.5327858640       -0.0000025376
       -0.0000000712       -0.2410214553       -0.0491599985
       -0.0000015600       -0.2410275429        0.0491521061
        0.0000000160       -0.0028196606       -0.0931180102
       -0.0000000377       -0.0028181409        0.0931204235
        0.0000001880        0.0111564409        0.0638674119
       -0.0000007557        0.0111500460       -0.0638610638
        0.0000003493        0.0349933836       -0.0436028624
        0.0000004869        0.0349950261        0.0436036324
        0.0000000000       -0.0540725366        0.0000018015
        0.0000000000       -0.0601470290       -0.0000015332
        0.0000002309       -0.0116653603       -0.0171264738
        0.0000002521       -0.0116705760        0.0171245363
        0.0000002745        0.0000274071        0.0009171989
       -0.0000001907        0.0000221471       -0.0009187778
       -0.0000003128        0.0005847038       -0.0005005970
        0.0000005511        0.0005839735        0.0005019760
        0.0000000000       -0.0010445198        0.0000002382
       -0.0000025650       -0.0000025376        0.7994924839
        0.0000009048       -0.1145449265       -0.1812071743
       -0.0000025196        0.1145475698       -0.1812070661
       -0.0000009067       -0.0240995476       -0.0518103053
       -0.0000005065        0.0240993429       -0.0518072631
        0.0000000950        0.0054271336       -0.0034250060
        0.0000028937       -0.0054220787       -0.0034241542
