   18   54
        0.1359470104        0.0000000000        0.0000001014
       -0.0597764104        0.0000000306        0.0000001077
       -0.0597764173       -0.0000000306        0.0000001077
        0.0056893175        0.0000002486        0.0000002151
        0.0056893200       -0.0000002486        0.0000002151
        0.0049403252       -0.0000001228       -0.0000004490
        0.0049403261        0.0000001228       -0.0000004490
        0.0002226577        0.0000000716        0.0000000254
        0.0002226586       -0.0000000716        0.0000000254
       -0.0007015630        0.0000000000       -0.0000001001
       -0.0377756292        0.0000000000        0.0000001513
        0.0002543380       -0.0000002270        0.0000000587
        0.0002543383        0.0000002270        0.0000000587
        0.0004309785       -0.0000002836        0.0000000825
        0.0004309786        0.0000002836        0.0000000825
       -0.0004523445       -0.0000001041       -0.0000000826
       -0.0004523444        0.0000001041       -0.0000000826
       -0.0000893496        0.0000000000       -0.0000000683
        0.0000000000        0.5196866768       -0.0000000749
        0.0000000742       -0.2336943775       -0.0440473376
        0.0000000590       -0.2336943947        0.0440474101
       -0.0000000522       -0.0024801201       -0.0920842304
        0.0000001011       -0.0024801202        0.0920841392
        0.0000000091        0.0111940141        0.0627494587
        0.0000000117        0.0111936976       -0.0627490566
        0.0000001208        0.0343487186       -0.0429791267
       -0.0000000201        0.0343487646        0.0429790605
        0.0000000000       -0.0532536682        0.0000000304
        0.0000000000       -0.0617267094       -0.0000000981
       -0.0000000991       -0.0118015333       -0.0165619643
       -0.0000001432       -0.0118018414        0.0165619996
        0.0000000373        0.0000055845        0.0009543794
       -0.0000000150        0.0000051948       -0.0009543679
       -0.0000000412        0.0006352441       -0.0005636864
       -0.0000000234        0.0006354537        0.0005636930
        0.0000000000       -0.0011038433        0.0000000125
        0.0000001014       -0.0000000749        0.7887081880
        0.0000000448       -0.1076641435       -0.1793370033
       -0.0000000130        0.1076641274       -0.1793368826
       -0.0000001286       -0.0244851758       -0.0525362901
        0.0000001215        0.0244853035       -0.0525363679
        0.0000000566        0.0055377421       -0.0032313582
       -0.0000000109       -0.0055377320       -0.0032314496
       -0.0000000335        0.0009165866       -0.0005076962
        0.0000000564       -0.0009164804       -0.0005077791
        0.0000001085        0.0000000533       -0.0006566398
       -0.0000000029       -0.0000000197       -0.3392574009
       -0.0000000926        0.0115940457        0.0116195451
