   18   54
        0.1352976433        0.0000000000       -0.0000000042
       -0.0572595590       -0.0000000004        0.0000000025
       -0.0572595589        0.0000000004        0.0000000025
        0.0041343838        0.0000000012       -0.0000000008
        0.0041343838       -0.0000000012       -0.0000000008
        0.0053937567        0.0000000007        0.0000000015
        0.0053937568       -0.0000000007        0.0000000015
        0.0002299624       -0.0000000005       -0.0000000006
        0.0002299623        0.0000000005       -0.0000000006
       -0.0006146250        0.0000000000       -0.0000000011
       -0.0386915582        0.0000000000        0.0000000001
       -0.0003117252       -0.0000000000        0.0000000000
       -0.0003117252        0.0000000000        0.0000000000
        0.0003473115       -0.0000000000        0.0000000000
        0.0003473115        0.0000000000        0.0000000000
       -0.0004793211        0.0000000000        0.0000000000
       -0.0004793211       -0.0000000000        0.0000000000
       -0.0001028489        0.0000000000       -0.0000000001
        0.0000000000        0.5040342363        0.0000000044
       -0.0000000084       -0.2373404840       -0.0108687187
       -0.0000000091       -0.2373404769        0.0108687264
       -0.0000000014       -0.0081048854       -0.1375422069
       -0.0000000045       -0.0081048623        0.1375421953
        0.0000000101        0.0221045673        0.1123006778
        0.0000000111        0.0221045651       -0.1123006830
       -0.0000000037        0.0646458576       -0.0813809892
        0.0000000002        0.0646458559        0.0813809853
        0.0000000000       -0.1015901708        0.0000000005
        0.0000000000       -0.0642202290        0.0000000000
       -0.0000000010       -0.0104463056       -0.0165108365
        0.0000000007       -0.0104463070        0.0165108361
        0.0000000003        0.0000066192        0.0017449620
       -0.0000000021        0.0000066208       -0.0017449370
       -0.0000000018        0.0011864417       -0.0012494562
       -0.0000000027        0.0011864418        0.0012494564
        0.0000000000       -0.0022656045        0.0000000000
       -0.0000000042        0.0000000044        0.8100642341
       -0.0000000008       -0.1165223383       -0.1881615969
        0.0000000027        0.1165223428       -0.1881615866
        0.0000000104       -0.0248295717       -0.0499654552
       -0.0000000064        0.0248295860       -0.0499654627
        0.0000000040        0.0055919718       -0.0039350777
       -0.0000000054       -0.0055919664       -0.0039350752
       -0.0000000061        0.0008744324       -0.0003796179
        0.0000000010       -0.0008744200       -0.0003796083
        0.0000000000       -0.0000000059       -0.0009083299
        0.0000000079       -0.0000000028       -0.3475990815
        0.0000000012        0.0123844189        0.0120658947
       -0.0000000097       -0.0123844179        0.0120658974
        0.0000000049       -0.0000362168        0.0001571384
        0.0000000050        0.0000362033        0.0001571389
        0.0000000052       -0.0000007848       -0.0005800150
        0.0000000106        0.0000007931       -0.0005800150
        0.0000000020        0.0000000022        0.0000445612
       -0.0572595590       -0.0000000084       -0.0000000008
        0.1162521592        0.0000000005        0.0000000141
        0.0105457557        0.0000000046       -0.0000000032
       -0.0645004496        0.0000000018       -0.0000000085
        0.0106669542       -0.0000000034        0.0000000021
        0.0019868594       -0.0000000011        0.0000000058
       -0.0003189888        0.0000000023       -0.0000000084
        0.0087044836        0.0000000079       -0.0000000077
        0.0012253031        0.0000000040        0.0000000076
       -0.0005037529       -0.0000000084       -0.0000000003
        0.0024388239       -0.0000000002       -0.0000000001
       -0.0267021276        0.0000000001       -0.0000000001
        0.0040825550        0.0000000001        0.0000000000
       -0.0046552112        0.0000000001        0.0000000002
       -0.0012261204        0.0000000001       -0.0000000002
       -0.0001001675        0.0000000002       -0.0000000000
        0.0001016141        0.0000000000        0.0000000001
       -0.0007388230       -0.0000000002       -0.0000000002
       -0.0000000004       -0.2373404840       -0.1165223383
        0.0000000005        0.7908342977       -0.0841179193
       -0.0000000019       -0.0711761124        0.0315760568
       -0.0000000017       -0.1227665104        0.1050756237
        0.0000000028       -0.0322695532        0.0033681965
       -0.0000000038        0.0047551797       -0.0502963477
       -0.0000000007       -0.0102647681        0.0168333017
        0.0000000085       -0.0157263321        0.0160320974
        0.0000000017       -0.0141087120       -0.0161524830
       -0.0000000024        0.0215669044       -0.0020071903
       -0.0000000005        0.0091756597        0.0058737921
        0.0000000005       -0.3208669368        0.0869633620
        0.0000000019       -0.0028099478        0.0038180494
