   18   54
        0.1142677050        0.0000000000        0.0000100955
       -0.0510310164        0.0000024804        0.0000009698
       -0.0510309914       -0.0000024804        0.0000009698
        0.0046325744       -0.0000159878       -0.0000026034
        0.0046325439        0.0000159878       -0.0000026034
        0.0052113303       -0.0000016572       -0.0000032210
        0.0052113412        0.0000016572       -0.0000032210
        0.0005589693       -0.0000022405       -0.0000003041
        0.0005589718        0.0000022405       -0.0000003041
       -0.0009740834        0.0000000000       -0.0000001030
       -0.0324107698        0.0000000000       -0.0000000127
        0.0003316334       -0.0000000282        0.0000001418
        0.0003316349        0.0000000282        0.0000001418
        0.0004141174       -0.0000000231        0.0000000283
        0.0004141194        0.0000000231        0.0000000283
       -0.0005093928       -0.0000000503        0.0000000015
       -0.0005093915        0.0000000503        0.0000000015
       -0.0001021917        0.0000000000       -0.0000000063
        0.0000000000        0.5655810160        0.0000015926
       -0.0000007877       -0.2627837308       -0.0644993657
       -0.0000009781       -0.2627869876        0.0644998868
        0.0000002793       -0.0038573322       -0.0976800979
       -0.0000011091       -0.0038508349        0.0976798187
       -0.0000002169        0.0134020414        0.0745637327
       -0.0000000328        0.0134026974       -0.0745616138
       -0.0000000654        0.0413245921       -0.0519766228
       -0.0000000006        0.0413212902        0.0519772128
        0.0000000000       -0.0643046625       -0.0000000740
        0.0000000000       -0.0576498715       -0.0000000238
       -0.0000008297       -0.0100537913       -0.0168760836
       -0.0000013411       -0.0100532392        0.0168751612
       -0.0000000597        0.0001291850        0.0012915899
       -0.0000016458        0.0001300452       -0.0012911193
        0.0000000440        0.0008649224       -0.0008617722
        0.0000002323        0.0008667650        0.0008618042
        0.0000000000       -0.0016749675       -0.0000000019
        0.0000100955        0.0000015926        0.8428447364
       -0.0000074884       -0.1333830683       -0.1904814716
       -0.0000013778        0.1333759951       -0.1904783190
        0.0000003606       -0.0257015210       -0.0510891780
       -0.0000082460        0.0256968371       -0.0510858890
       -0.0000007814        0.0059197231       -0.0034081971
       -0.0000007906       -0.0059171991       -0.0034125288
       -0.0000006093        0.0008680705       -0.0006399405
       -0.0000007342       -0.0008685609       -0.0006388318
       -0.0000001448        0.0000023045       -0.0006370313
       -0.0000000556        0.0000002582       -0.3737942540
       -0.0000003762        0.0133066516        0.0117837194
        0.0000000643       -0.0133130515        0.0117842456
        0.0000003439       -0.0001136178        0.0002089701
       -0.0000006312        0.0001108989        0.0002134757
       -0.0000003702       -0.0000594897       -0.0005703015
        0.0000003022        0.0000590532       -0.0005750697
       -0.0000007349       -0.0000040824        0.0000236508
       -0.0510310164       -0.0000007877       -0.0000074884
        0.0979860584        0.0000015192       -0.0000058791
        0.0112690172        0.0000070085       -0.0000018565
       -0.0593026245       -0.0000019077        0.0000099868
        0.0098709302       -0.0000065586        0.0000069635
        0.0032853926       -0.0000001864       -0.0000001138
        0.0002700157        0.0000016292       -0.0000024523
        0.0081338855       -0.0000006253       -0.0000007962
        0.0009242988        0.0000006180        0.0000013459
       -0.0001045534       -0.0000007440        0.0000006927
        0.0029999991       -0.0000000000       -0.0000000074
       -0.0215418823        0.0000000474       -0.0000002298
        0.0038508254       -0.0000001943       -0.0000002189
       -0.0047409653        0.0000001401        0.0000000931
       -0.0012492915        0.0000000142       -0.0000000160
        0.0000209299       -0.0000000122       -0.0000000231
        0.0001007965        0.0000000201        0.0000000028
       -0.0007387599        0.0000000186       -0.0000000032
        0.0000024804       -0.2627837308       -0.1333830683
        0.0000015192        0.8280702837       -0.0761423996
        0.0000016961       -0.0684821192        0.0199076310
        0.0000002576       -0.1206093021        0.1033318869
       -0.0000034116       -0.0346938459        0.0144968948
       -0.0000002219        0.0086612358       -0.0413399670
       -0.0000004513       -0.0069839160        0.0074395657
       -0.0000009657       -0.0096962848        0.0089478521
       -0.0000005733       -0.0084624507       -0.0087432973
       -0.0000005836        0.0120598181       -0.0023077758
       -0.0000001023        0.0090651079        0.0071733759
       -0.0000035623       -0.3438550700        0.0972900581
        0.0000040116       -0.0028401582        0.0038659691
        0.0000003318        0.0013556309       -0.0010416686
       -0.0000011268       -0.0012448527        0.0016348000
       -0.0000004399       -0.0001183493       -0.0010428386
        0.0000000828        0.0000325762       -0.0001080856
        0.0000000600        0.0005363281        0.0000290082
        0.0000009698       -0.0644993657       -0.1904814716
       -0.0000058791       -0.0761423996        0.5959229322
       -0.0000028180       -0.0199084605        0.0695953471
        0.0000006399        0.0957584396       -0.2692020627
       -0.0000037819        0.0292590149       -0.0697895382
       -0.0000006501       -0.0126960549       -0.1084459395
       -0.0000004373       -0.0111014728        0.0568794145
       -0.0000006032       -0.0432991623        0.0575171290
       -0.0000004009       -0.0368004774       -0.0444478905
       -0.0000001985        0.0615116975       -0.0017352598
       -0.0000000706       -0.0224733030       -0.0070901936
       -0.0000045362        0.0974279168       -0.0875144548
        0.0000009474        0.0022805864       -0.0021757810
        0.0000003968        0.0009892861        0.0000361013
       -0.0000017769       -0.0004338486        0.0011487878
       -0.0000005454       -0.0007575971        0.0007326858
        0.0000003093       -0.0007000063       -0.0009202800
        0.0000000862        0.0015727971       -0.0000337236
       -0.0510309914       -0.0000009781       -0.0000013778
        0.0112690172        0.0000016961       -0.0000028180
        0.0979861022       -0.0000021529       -0.0000049632
        0.0098703087        0.0000083713        0.0000090509
       -0.0593020995       -0.0000082479       -0.0000015697
        0.0002699164       -0.0000001221        0.0000011318
        0.0032857131        0.0000012812        0.0000007789
        0.0009241030        0.0000013651       -0.0000006945
        0.0081340314       -0.0000007545        0.0000000234
       -0.0001045555       -0.0000004624        0.0000002143
        0.0029999992        0.0000000101        0.0000000091
        0.0038508052       -0.0000000378        0.0000001127
       -0.0215418907        0.0000000841        0.0000000985
       -0.0012493164       -0.0000000250       -0.0000000004
       -0.0047409901       -0.0000000227        0.0000000602
        0.0001008280       -0.0000000388       -0.0000000097
        0.0000209106        0.0000000314       -0.0000000284
       -0.0007387595        0.0000000029       -0.0000000183
       -0.0000024804       -0.2627869876        0.1333759951
        0.0000070085       -0.0684821192       -0.0199084605
       -0.0000021529        0.8280689163        0.0761408009
        0.0000001001       -0.0346855768       -0.0145007747
        0.0000035142       -0.1206155454       -0.1033274493
        0.0000000388       -0.0069782344       -0.0074387933
        0.0000002102        0.0086659182        0.0413377032
        0.0000002495       -0.0084683856        0.0087469254
       -0.0000002586       -0.0096978765       -0.0089484765
        0.0000005836        0.0120646151        0.0023094230
        0.0000001023        0.0090664240       -0.0071733860
        0.0000022285       -0.0028445773       -0.0038683411
        0.0000028441       -0.3438539192       -0.0972978886
