   18   54
        0.1664581625       -0.0000581275       -0.0001176662
       -0.0725925837       -0.0000345175       -0.0000171950
       -0.0725925862       -0.0000345138       -0.0000172125
        0.0062129975       -0.0000002638       -0.0000082612
        0.0062129912       -0.0000002625       -0.0000082588
        0.0055173337        0.0000006650       -0.0000069100
        0.0055173464        0.0000006650       -0.0000069162
        0.0003259138       -0.0000027950       -0.0000041312
        0.0003259088       -0.0000028000       -0.0000041350
       -0.0006516850       -0.0000051162        0.0000001588
       -0.0464572112        0.0000042287       -0.0000672962
        0.0008945288       -0.0000000999       -0.0000006700
        0.0008945237       -0.0000001037       -0.0000006675
        0.0005744263        0.0000003200       -0.0000001049
        0.0005744275        0.0000003188       -0.0000001101
       -0.0005605013        0.0000000401        0.0000000638
       -0.0005605013        0.0000000438        0.0000000676
       -0.0000892413       -0.0000000811        0.0000001863
       -0.0000581275        0.5406417775        0.0001037988
       -0.0000275426       -0.2578002550        0.0113975476
       -0.0000275399       -0.2578002488       -0.0109537125
       -0.0000000400       -0.0123257012       -0.1760703174
       -0.0000000450       -0.0123257001        0.1763472863
       -0.0000074225        0.0303250475        0.1462314363
       -0.0000074174        0.0303250476       -0.1459743100
        0.0000006725        0.0843138626       -0.1067931962
        0.0000006738        0.0843138587        0.1069451862
       -0.0000070050       -0.1336056037       -0.0000033749
        0.0000069914       -0.0731782801       -0.0000699138
       -0.0000000887       -0.0112078150       -0.0179846137
       -0.0000000963       -0.0112078149        0.0179808638
       -0.0000009062       -0.0002944113        0.0014544313
       -0.0000009087       -0.0002944037       -0.0014538488
       -0.0000002488        0.0012156325       -0.0012092637
       -0.0000002576        0.0012156337        0.0012089750
       -0.0000009763       -0.0020610524       -0.0000004275
       -0.0001176662        0.0001037988        0.8957723425
       -0.0000172913       -0.1257851162       -0.2121657425
       -0.0000172888        0.1259674512       -0.2121657475
       -0.0000021387       -0.0285957849       -0.0537203587
       -0.0000021451        0.0285933475       -0.0537203601
       -0.0000005087        0.0055329213       -0.0051024763
       -0.0000005112       -0.0055333075       -0.0051024725
        0.0000001950        0.0026723851        0.0008851438
        0.0000001913       -0.0026738613        0.0008851375
        0.0000000275       -0.0000021412       -0.0028632775
       -0.0000791650       -0.0000786712       -0.3801194000
       -0.0000002875        0.0142563688        0.0140108925
       -0.0000003013       -0.0142588749        0.0140108938
       -0.0000000262        0.0000327650        0.0002968363
       -0.0000000200       -0.0000326200        0.0002968237
        0.0000000300       -0.0000009850       -0.0006207112
        0.0000000262        0.0000010875       -0.0006207087
       -0.0000000050        0.0000000351        0.0000342150
       -0.0725925837       -0.0000275426       -0.0000172913
        0.1424931651       -0.0001148501       -0.0000569050
        0.0137038599       -0.0000023513        0.0000010000
       -0.0788067926       -0.0000076938       -0.0000375012
        0.0124269349       -0.0000050350        0.0000024424
        0.0042696600       -0.0000005875        0.0000034324
        0.0000659425       -0.0000006088        0.0000037637
        0.0086907625        0.0000013875        0.0000024075
        0.0011988399        0.0000021262        0.0000016738
       -0.0001921650        0.0000019362       -0.0000001550
        0.0039923088       -0.0000009626        0.0000001100
       -0.0321612450       -0.0000616200       -0.0000021575
        0.0045560749       -0.0000001750        0.0000000750
       -0.0054438075        0.0000002086        0.0000000762
       -0.0015018725        0.0000001925        0.0000000149
       -0.0000837775        0.0000000812        0.0000000450
        0.0001042974        0.0000001287        0.0000000600
       -0.0007143814        0.0000001437       -0.0000000275
       -0.0000345175       -0.2578002550       -0.1257851162
       -0.0001148501        0.8704039401       -0.0979046900
       -0.0000023562       -0.0770415138        0.0441326874
       -0.0000035188       -0.1431296813        0.1201596413
       -0.0000026063       -0.0314819351       -0.0056308388
       -0.0000001888        0.0043783612       -0.0623449100
       -0.0000001175       -0.0137720013        0.0256144038
       -0.0000005300       -0.0197165862        0.0237739849
       -0.0000003800       -0.0208391489       -0.0219385925
        0.0000002887        0.0301145775       -0.0035234263
        0.0000001150        0.0113183312        0.0067563499
       -0.0000721326       -0.3502549925        0.0931995100
       -0.0000005051       -0.0032673287        0.0040339425
        0.0000001200        0.0019782499       -0.0010066562
       -0.0000001074       -0.0012619850        0.0019133550
       -0.0000001125       -0.0001383125       -0.0010576701
       -0.0000000301       -0.0001361575       -0.0002544763
        0.0000000149        0.0006342788        0.0000787600
       -0.0000171950        0.0113975476       -0.2121657425
       -0.0000569050       -0.0979046900        0.5795837974
        0.0000010125       -0.0441154700        0.1364600325
       -0.0000400188        0.1021861726       -0.2135942987
        0.0000018512        0.0459120025       -0.1418394837
       -0.0000087237       -0.0276360400       -0.1749879350
       -0.0000077799       -0.0283211537        0.1289666526
        0.0000027001       -0.0858202237        0.1092402150
        0.0000024813       -0.0780443526       -0.0996509500
       -0.0000079100        0.1294495625       -0.0007732474
       -0.0000015987       -0.0244043262       -0.0078369325
       -0.0000008687        0.0937928963       -0.1010156137
        0.0000002875        0.0026830489       -0.0023508062
       -0.0000012461        0.0014018649       -0.0005051636
       -0.0000009737        0.0000113788        0.0014211687
        0.0000001063       -0.0011915500        0.0010390850
       -0.0000000075       -0.0010502099       -0.0012923074
       -0.0000010787        0.0020188676       -0.0000751150
       -0.0725925862       -0.0000275399       -0.0000172888
        0.0137038599       -0.0000023562        0.0000010125
        0.1424931600       -0.0001148475       -0.0000569150
        0.0124269450       -0.0000050387        0.0000024388
       -0.0788067950       -0.0000076813       -0.0000375037
