   18   54
        0.1122350499        0.0000000000        0.0000000000
       -0.0454949116        0.0000000000        0.0000000000
       -0.0454949115       -0.0000000000        0.0000000000
        0.0020016034        0.0000000000        0.0000000000
        0.0020016034        0.0000000000        0.0000000000
        0.0048682846        0.0000000000        0.0000000000
        0.0048682846       -0.0000000000        0.0000000000
        0.0008594731        0.0000000000        0.0000000000
        0.0008594731        0.0000000000        0.0000000000
       -0.0007853251        0.0000000000        0.0000000000
       -0.0322748827        0.0000000000        0.0000000000
       -0.0014770826        0.0000000000        0.0000000000
       -0.0014770826        0.0000000000        0.0000000000
        0.0002815640        0.0000000000        0.0000000000
        0.0002815640        0.0000000000        0.0000000000
       -0.0005506058        0.0000000000        0.0000000000
       -0.0005506059        0.0000000000        0.0000000000
       -0.0001506424        0.0000000000        0.0000000000
        0.0000000000        0.6307085165       -0.0000000004
        0.0000000000       -0.2840740031       -0.1200312760
        0.0000000000       -0.2840740023        0.1200312721
        0.0000000000        0.0087319778       -0.0343200867
        0.0000000000        0.0087319775        0.0343200874
        0.0000000000       -0.0030961888        0.0088257399
        0.0000000000       -0.0030961898       -0.0088257419
        0.0000000000        0.0013500182       -0.0004100188
        0.0000000000        0.0013500196        0.0004100176
        0.0000000000        0.0006670333        0.0000000000
        0.0000000000       -0.0576382278       -0.0000000000
        0.0000000000       -0.0103081844       -0.0171957167
        0.0000000000       -0.0103081852        0.0171957165
        0.0000000000        0.0005921681        0.0013067496
        0.0000000000        0.0005921683       -0.0013067500
       -0.0000000000        0.0005828387       -0.0005579247
        0.0000000000        0.0005828392        0.0005579252
        0.0000000000       -0.0013935615        0.0000000001
        0.0000000000       -0.0000000004        0.8565130117
        0.0000000000       -0.1334383180       -0.1936393217
        0.0000000000        0.1334383173       -0.1936393218
        0.0000000000       -0.0228151941       -0.0495142353
        0.0000000000        0.0228151943       -0.0495142353
        0.0000000000        0.0058919422       -0.0033923283
        0.0000000000       -0.0058919428       -0.0033923282
        0.0000000000       -0.0023013057       -0.0026987607
        0.0000000000        0.0023013052       -0.0026987598
        0.0000000000       -0.0000000000        0.0018593602
        0.0000000000        0.0000000000       -0.3813140979
        0.0000000000        0.0133762957        0.0111914886
        0.0000000000       -0.0133762953        0.0111914890
        0.0000000000       -0.0000060001        0.0000365920
        0.0000000000        0.0000060008        0.0000365924
        0.0000000000       -0.0000004038       -0.0005811216
        0.0000000000        0.0000004035       -0.0005811216
       -0.0000000001       -0.0000000004        0.0001430438
       -0.0454949116        0.0000000000        0.0000000000
        0.0906900344        0.0000000000        0.0000000000
        0.0090140913        0.0000000000        0.0000000000
       -0.0497994227        0.0000000000        0.0000000000
        0.0056977990        0.0000000000        0.0000000000
       -0.0003679437        0.0000000000        0.0000000000
        0.0005429883        0.0000000000        0.0000000000
        0.0092211666        0.0000000000        0.0000000000
        0.0011514141        0.0000000000        0.0000000000
       -0.0006706475        0.0000000000        0.0000000000
        0.0015561151        0.0000000000        0.0000000000
       -0.0195953471        0.0000000000        0.0000000000
        0.0043555771        0.0000000000        0.0000000000
       -0.0044246620        0.0000000000        0.0000000000
       -0.0011859521        0.0000000000        0.0000000000
       -0.0000210011        0.0000000000        0.0000000000
        0.0001324601        0.0000000000        0.0000000000
       -0.0008087685        0.0000000000        0.0000000000
        0.0000000000       -0.2840740031       -0.1334383180
        0.0000000000        0.8438780715       -0.0616852520
        0.0000000000       -0.0641053435        0.0012114965
        0.0000000000       -0.1190327759        0.0873635172
        0.0000000000       -0.0391024961        0.0343125225
        0.0000000000        0.0109228367       -0.0211050334
        0.0000000000       -0.0032199558       -0.0126248824
        0.0000000000       -0.0002557652       -0.0081134994
        0.0000000000        0.0059314123        0.0050918255
        0.0000000000       -0.0070456913        0.0002298668
        0.0000000000        0.0083681157        0.0072174488
        0.0000000000       -0.3501994317        0.0989886184
        0.0000000000       -0.0027473077        0.0038276708
        0.0000000000        0.0014466509       -0.0014597201
        0.0000000000       -0.0012638734        0.0014224732
        0.0000000000        0.0000076785       -0.0012240614
        0.0000000000        0.0001265347       -0.0000534972
        0.0000000000        0.0003963790        0.0000439911
        0.0000000000       -0.1200312760       -0.1936393217
        0.0000000000       -0.0616852520        0.6536872844
        0.0000000000       -0.0012114971        0.0156349312
        0.0000000000        0.0826807258       -0.3319334435
        0.0000000000        0.0176395910       -0.0077565948
        0.0000000000        0.0018544344       -0.0460413592
        0.0000000000        0.0053005049       -0.0067449564
        0.0000000000       -0.0021483082        0.0090802778
        0.0000000000       -0.0000762019        0.0067957741
