   18   54
        0.5094444290       -1.1085825086       -1.4684866284
       -0.4085758172       -1.4466505393       -1.1340102564
       -0.4085758601       -1.4466505159       -1.1340102353
       -0.4003739971       -1.1107677694       -1.3683540601
       -0.4003740010       -1.1107677952       -1.3683540642
       -0.3817608083       -1.2567740949       -1.3619184845
       -0.3817607558       -1.2567740900       -1.3619184737
       -0.3714693954       -1.3034916396       -1.3257487964
       -0.3714694228       -1.3034916649       -1.3257487986
       -0.3859272921       -1.3604318500       -1.2560188765
       -0.2556077982       -0.2617575197       -0.7946137841
       -0.2154761133       -0.7409476027       -0.3145011867
       -0.2154761309       -0.7409475730       -0.3145011770
       -0.2229231613       -0.7506597424       -0.3007593075
       -0.2229231275       -0.7506597536       -0.3007593180
       -0.2238148470       -0.5804169307       -0.4820850432
       -0.2238149144       -0.5804169109       -0.4820850332
       -0.2235408132       -0.2838189576       -0.7748759288
       -1.1085825086        2.4466512315       -2.1946754506
       -1.0790357030       -2.4462406601       -1.9758457466
       -1.0790357288       -2.4462406645       -1.7451583547
       -1.1310551681       -1.8281434951       -2.1241510878
       -1.1310551866       -1.8281435245       -2.0658268426
       -1.1134732788       -1.9873606876       -2.0850705926
       -1.1134732559       -1.9873606815       -2.0920788648
       -1.0982398982       -2.0320291826       -2.0485260683
       -1.0982399198       -2.0320291602       -2.0561067502
       -1.1116228464       -2.0811152202       -1.9824220426
       -0.9476424533       -1.0447351119       -1.5210204391
       -0.9419591180       -1.4781135991       -1.0585919379
       -0.9419591031       -1.4781135552       -1.0232234146
       -0.9497464890       -1.4764375425       -1.0257868055
       -0.9497464895       -1.4764375283       -1.0285432520
       -0.9497021087       -1.3062489995       -1.2090958371
       -0.9497021362       -1.3062490026       -1.2078852161
       -0.9498103871       -1.0115791670       -1.5012809510
       -1.4684866284       -2.1946754506        3.4058236690
       -1.4388674802       -2.6554407469       -2.4091830696
       -1.4388675348       -2.4101209614       -2.4091830596
       -1.4909024376       -2.2199705378       -2.5042784661
       -1.4909024595       -2.1740762250       -2.5042784481
       -1.4733263392       -2.3371876983       -2.4516049583
       -1.4733263600       -2.3488709702       -2.4516049699
       -1.4580848043       -2.3921162834       -2.4146352015
       -1.4580848254       -2.3873788624       -2.4146351870
       -1.4714762641       -2.4466884020       -2.3404959222
       -1.3075824497       -1.3480979950       -2.2660430776
       -1.3018081069       -1.8145693764       -1.3894276636
       -1.3018081545       -1.8398374148       -1.3894276820
       -1.3095965294       -1.8369345007       -1.3870104266
       -1.3095965285       -1.8368946238       -1.3870104291
       -1.3095511535       -1.6666599858       -1.5689372530
       -1.3095512055       -1.6666837367       -1.5689372428
       -1.3096604640       -1.3700738707       -1.8609895702
       -0.4085758172       -1.0790357030       -1.4388674802
        0.4307252891       -1.4172143482       -1.1045404914
       -0.3112006831       -1.4171004641       -1.1044730175
       -0.4400995518       -1.0812550670       -1.3388809868
       -0.3648503353       -1.0812525143       -1.3388345467
       -0.3537485648       -1.2272570174       -1.3324056984
       -0.3575827147       -1.2272565929       -1.3324047513
       -0.3338538139       -1.2739764896       -1.2962352026
       -0.3410948402       -1.2739769284       -1.2962349497
       -0.3559542001       -1.3309178281       -1.2265006504
       -0.1885780766       -0.2322452280       -0.7650245519
       -0.2080360508       -0.7114955859       -0.2849862029
       -0.1819472002       -0.7114300104       -0.2849832799
       -0.1988952259       -0.7211423252       -0.2712421200
       -0.1952281961       -0.7211423655       -0.2712420916
       -0.1938293128       -0.5508997253       -0.4525677497
       -0.1936710973       -0.5508996587       -0.4525677083
       -0.1947553616       -0.2543017750       -0.7453584467
       -1.4466505393       -2.4462406601       -2.6554407469
       -1.4172143482        3.3477958857       -2.2628940824
       -1.4171004836       -2.5763867459       -2.1990587162
       -1.4691523067       -2.2943540403       -2.3557183363
       -1.4691516871       -2.2154643042       -2.3965764107
       -1.4515726490       -2.3101047716       -2.4461503245
       -1.4515725166       -2.3240584871       -2.4407206670
       -1.4363337812       -2.3672503306       -2.3994066481
       -1.4363336467       -2.3611248733       -2.3838326464
       -1.4497227543       -2.4335144371       -2.3205094080
       -1.2857476029       -1.3183307512       -1.8526257226
       -1.2801297751       -2.1578102928       -1.2777421858
       -1.2800558098       -1.8081866702       -1.3749980622
       -1.2878439273       -1.8135914231       -1.3663991106
       -1.2878440551       -1.8164382168       -1.3637926980
       -1.2877989117       -1.6448852484       -1.5477675509
       -1.2877989050       -1.6447881378       -1.5466168124
       -1.2879079619       -1.3479490950       -1.8393196067
       -1.1340102564       -1.9758457466       -2.4091830696
       -1.1045404914       -2.2628940824        2.5144908052
       -1.1044730694       -2.1979833296       -1.8749409983
       -1.1565740026       -1.7891853268       -2.4315077200
       -1.1565289562       -1.8446135335       -2.1243775849
       -1.1389496571       -2.0052601674       -2.1546844852
       -1.1389461835       -2.0022369376       -2.1254403472
       -1.1237127552       -2.0544739557       -2.0724679320
       -1.1237133143       -2.0525257609       -2.0671934311
       -1.1370965429       -2.1189116659       -2.0117542449
       -0.9731250675       -1.0368994508       -1.5531485195
       -0.9674332679       -1.3915751306       -1.1544583482
       -0.9674315486       -1.4904520253       -1.0684746336
       -0.9752203524       -1.5017841666       -1.0524788040
       -0.9752199741       -1.5035305804       -1.0513510749
       -0.9751754716       -1.3327881634       -1.2333919027
       -0.9751756224       -1.3327731084       -1.2345884607
       -0.9752839446       -1.0343626830       -1.5268212277
       -0.4085758601       -1.0790357288       -1.4388675348
       -0.3112006831       -1.4171004836       -1.1044730694
        0.4307253317       -1.4172143574       -1.1045405275
       -0.3648503484       -1.0812525178       -1.3388345565
       -0.4400996084       -1.0812551093       -1.3388810258
       -0.3575827233       -1.2272565892       -1.3324047756
       -0.3537485666       -1.2272570629       -1.3324057289
       -0.3410948919       -1.2739769372       -1.2962349713
       -0.3338538590       -1.2739765125       -1.2962352083
       -0.3559542022       -1.3309178551       -1.2265006654
       -0.1885780748       -0.2322452524       -0.7650245747
       -0.1819472298       -0.7114300589       -0.2849833117
       -0.2080360540       -0.7114956211       -0.2849862243
       -0.1952282549       -0.7211424130       -0.2712421345
       -0.1988952310       -0.7211423183       -0.2712421307
       -0.1936710974       -0.5508997065       -0.4525677579
       -0.1938293479       -0.5508997449       -0.4525677657
       -0.1947553915       -0.2543017777       -0.7453584754
       -1.4466505159       -2.4462406645       -2.4101209614
       -1.4171004641       -2.5763867459       -2.1979833296
       -1.4172143574        3.3477958651       -2.1339833425
       -1.4691516836       -2.2154642773       -2.4691774157
       -1.4691523324       -2.2943540495       -2.5100493488
       -1.4515724843       -2.3240584746       -2.4121709433
       -1.4515726755       -2.3101047847       -2.4067425084
       -1.4363336479       -2.3611248704       -2.3966957494
       -1.4363337745       -2.3672503130       -2.3811290715
       -1.4497227537       -2.4335144354       -2.3205321175
       -1.2857475849       -1.3183307207       -1.8654648390
       -1.2800557794       -1.8081866525       -1.3830084625
       -1.2801297574       -2.1578102790       -1.4802771073
       -1.2878440487       -1.8164382494       -1.3667312123
       -1.2878439122       -1.8135913818       -1.3641240150
       -1.2877988365       -1.6447881429       -1.5465582171
       -1.2877989209       -1.6448852403       -1.5454075331
       -1.2879079619       -1.3479490749       -1.8394369457
       -1.1340102353       -1.7451583547       -2.4091830596
       -1.1044730175       -2.1990587162       -1.8749409983
       -1.1045405275       -2.1339833425        2.5144907859
       -1.1565289573       -1.8807417916       -2.1243775950
       -1.1565740023       -1.9361762482       -2.4315077069
       -1.1389461599       -2.0150954428       -2.1254403500
       -1.1389496871       -2.0120755931       -2.1546844702
       -1.1237133106       -2.0583938220       -2.0671934283
       -1.1237127675       -2.0564682260       -2.0724678974
       -1.1370965230       -2.1061841386       -2.0117542648
       -0.9731250520       -0.9903824738       -1.5531485066
       -0.9674315085       -1.4952010581       -1.0684746254
       -0.9674332642       -1.5940771102       -1.1544583326
       -0.9752199923       -1.5015459297       -1.0513510738
       -0.9752203686       -1.5032927054       -1.0524787855
       -0.9751755645       -1.3318188429       -1.2345884637
       -0.9751754953       -1.3318040295       -1.2333919066
       -0.9752839278       -1.0370338475       -1.5268212360
       -0.4003739971       -1.1310551681       -1.4909024376
       -0.4400995518       -1.4691523067       -1.1565740026
       -0.3648503484       -1.4691516836       -1.1565289573
        0.5695550438       -1.1333590669       -1.3909719176
       -0.4945956837       -1.1333357283       -1.3908850928
       -0.4636648307       -1.2793287461       -1.3844935753
       -0.4107903744       -1.2793096153       -1.3844513582
