   10   30
        0.0564194444       -0.0239131851       -0.0387792209
       -0.0556469261        0.0251634138        0.0344598832
       -0.0032663337        0.0163686979        0.0260922803
        0.0036169996       -0.0140916237       -0.0170476012
       -0.0001518092       -0.0032301970       -0.0052012847
       -0.0019151995       -0.0003634821       -0.0011589862
        0.0003352951        0.0008909164        0.0003122155
        0.0003980441       -0.0004487109        0.0013434809
        0.0007913957       -0.0001691812        0.0000057651
       -0.0005797063       -0.0002055233       -0.0000254295
       -0.0239131851        0.1426501543        0.1330760306
        0.0265739883       -0.1274026653       -0.1233250995
        0.0002662310       -0.0058453320       -0.0073153065
        0.0031171669       -0.0199058393       -0.0190358343
       -0.0032301969        0.0108287195        0.0158101832
       -0.0034166616       -0.0004689876       -0.0012213425
        0.0001361000        0.0008249024        0.0008483054
        0.0002873361       -0.0006610435        0.0012333202
        0.0013333437        0.0001977730       -0.0001259548
       -0.0011551360       -0.0002156560        0.0000524219
       -0.0387792209        0.1330760306        0.2391933856
        0.0355396910       -0.1218527086       -0.2223254008
       -0.0009537830        0.0021754406        0.0008695397
       -0.0002313987        0.0021261427        0.0035405162
        0.0052012848       -0.0158101830       -0.0213287110
       -0.0003406454        0.0006640519        0.0003295718
       -0.0003024399       -0.0005070764        0.0000417994
       -0.0000898886        0.0000578831       -0.0002665614
       -0.0001652287        0.0000359625       -0.0000593258
        0.0001210937        0.0000333962        0.0000061923
       -0.0556469261        0.0265739883        0.0355396910
        0.5515384411       -0.0524014339        0.0000000000
       -0.2949768323        0.0844098499       -0.0000000001
       -0.1392025013       -0.0664999817        0.0000000001
       -0.0556469261        0.0265739883       -0.0355396912
        0.0108783286        0.0030420974        0.0000000001
       -0.0144679242       -0.0247121340        0.0000000000
       -0.0019151376        0.0028016940       -0.0000000000
       -0.0002806097        0.0001047065        0.0001030710
       -0.0002806098        0.0001047066       -0.0001030710
        0.0251634138       -0.1274026653       -0.1218527086
       -0.0524014339        0.5117748577        0.0000000000
        0.0813530884       -0.0740364088       -0.0000000000
       -0.0685713525       -0.1577697386       -0.0000000001
        0.0251634137       -0.1274026653        0.1218527085
       -0.0145392070       -0.0350779964        0.0000000001
        0.0044915432        0.0065918017        0.0000000000
       -0.0020116659        0.0037382528        0.0000000000
        0.0006754601       -0.0002082748        0.0002086579
        0.0006754600       -0.0002082747       -0.0002086581
        0.0344598832       -0.1233250995       -0.2223254008
        0.0000000000        0.0000000000        0.5459182844
        0.0000000000       -0.0000000001       -0.0481978839
       -0.0000000002        0.0000000010       -0.0634919168
       -0.0344598831        0.1233250991       -0.2223254005
        0.0000000001       -0.0000000005        0.0002862400
       -0.0000000002       -0.0000000001        0.0038816849
        0.0000000002       -0.0000000006        0.0064284860
        0.0075602548        0.0014168054       -0.0000873750
       -0.0075602551       -0.0014168051       -0.0000873750
       -0.0032663337        0.0002662310       -0.0009537830
       -0.2949768323        0.0813530884        0.0000000000
        0.3199494483       -0.0857954389        0.0000000000
       -0.0189736652        0.0059178644       -0.0000000000
       -0.0032663337        0.0002662310        0.0009537830
        0.0009795985        0.0019934665        0.0000000000
       -0.0007680161       -0.0032944712        0.0000000000
        0.0003807911       -0.0004598086        0.0000000000
       -0.0000300351       -0.0001236523        0.0000066461
       -0.0000300351       -0.0001236523       -0.0000066463
        0.0163686979       -0.0058453320        0.0021754406
        0.0844098499       -0.0740364088       -0.0000000001
       -0.0857954389        0.0805678959       -0.0000000000
       -0.0277680249        0.0065981644       -0.0000000001
