   10   24
        0.3022565701        0.0168722399       -0.0014863751
        0.0052178299        0.0006340309        0.0000000000
        0.0093831831       -0.0025357934        0.0000000000
        0.0288294649       -0.0205389029       -0.0008091237
        0.0000000000        0.0424067728        0.0024979447
        0.0000000000       -0.0048194242        0.0000000000
        0.0000000000        0.0000000000       -0.0008899200
        0.0000000000        0.0023940798        0.0000000000
        0.0168722399        0.6345167202        0.0093009697
        0.0079083649       -0.0039716669        0.0000000000
       -0.0008432605        0.0005648850        0.0000000000
        0.0205340500        0.0277533578        0.0002345058
        0.0000000000       -0.0006703131       -0.0060431893
        0.0000000000       -0.0001342892        0.0000000000
        0.0000000000        0.0000000000       -0.0000239899
        0.0000000000        0.0006929798        0.0000000000
       -0.0014863751        0.0093009697        0.6386246201
       -0.0022008250        0.0114126858        0.0000000000
        0.0005153457        0.0003103055        0.0000000000
       -0.0013230252        0.0002537240       -0.0317868857
        0.0000000000        0.0027153717       -0.0008868092
        0.0000000000        0.0003076476        0.0000000000
        0.0000000000        0.0000000000       -0.0001834150
        0.0000000000       -0.0011007401        0.0000000000
        0.0052178299        0.0079083649       -0.0022008250
        0.3535540799       -0.0001884651        0.0000000000
       -0.0000929938       -0.0006216518        0.0000000000
       -0.0197651900        0.0030624866        0.0001900110
        0.0000000000        0.0015791228        0.0040913705
        0.0000000000       -0.0000307206        0.0000000000
        0.0000000000        0.0000000000        0.0005355851
        0.0000000000       -0.0016051301        0.0000000000
        0.0006340309       -0.0039716669        0.0114126858
       -0.0001884651        0.3626056800        0.0000000000
       -0.0001164814        0.0001505615        0.0000000000
        0.0000429567       -0.0003787075        0.0105225897
        0.0000000000        0.0002467205       -0.0000969198
        0.0000000000        0.0002485118        0.0000000000
        0.0000000000        0.0000000000       -0.0000035072
        0.0000000000       -0.0001185004        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.3581767601
        0.0000000000        0.0000000000       -0.0000309650
        0.0000000000        0.0000000000        0.0000000000
        0.0187698300        0.0000000000        0.0000000000
        0.0004947774        0.0000000000        0.0000192124
       -0.0000621876       -0.0000398594        0.0000000000
       -0.0006557213        0.0000000000       -0.0014039959
        0.0093831831       -0.0008432605        0.0005153457
       -0.0000929938       -0.0001164814        0.0000000000
        0.3451995767        0.0032103002        0.0000000000
        0.0016647578       -0.0017582458       -0.0000747529
        0.0000000000       -0.0145385939        0.0005140949
        0.0000000000        0.0017053765        0.0000000000
        0.0000000000        0.0000000000       -0.0000139343
        0.0000000000       -0.0000271557        0.0000000000
       -0.0025357934        0.0005648850        0.0003103055
       -0.0006216518        0.0001505615        0.0000000000
        0.0032103002        0.3440474999        0.0000000000
       -0.0076583174       -0.0020827709       -0.0000919133
        0.0000000000        0.0007958600        0.0143515767
