    6   12
        0.1376173128        0.0000000000        0.0446558840
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1311730142        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1284741708        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0446558840        0.0000000000        0.1820346502
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.1738531887        0.0000303647        0.0039617233
       -0.0068593531        0.0000000000        0.0940551284
        0.0000000000        0.0000019936        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000303647        0.1738618931        0.0068637216
        0.0039634367        0.0000000000        0.0000020159
        0.0000000000        0.0940830059        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0039617233        0.0068637216        0.0757780041
        0.0000202599        0.0000000000        0.0413636331
        0.0000000000        0.0716759209        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0068593531        0.0039634367        0.0000202599
        0.0757833391        0.0000000000       -0.0716246340
        0.0000000000        0.0413894797        0.0000000000
        0.0000000000        0.1284741708        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.4365645471        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0940551284        0.0000020159        0.0413636331
       -0.0716246340        0.0000000000        0.4476774037
        0.0000000000        0.0002311367        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.4010076001        0.0000000000        0.0002430395
        0.0000000000        0.0000000000        0.0000000000
        0.0000019936        0.0940830059        0.0716759209
        0.0413894797        0.0000000000        0.0002311367
        0.0000000000        0.4477440959        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0002430395        0.0000000000        0.4010774603
